date,heure_utc,c_window,dans_fenetre,regime,outcome,pnl,rr
2024-05-24,00:00,LONDON_GOLD_FIX,oui,R2,L,-1000.00,-1.000
2024-05-29,00:00,LONDON_GOLD_FIX,oui,R2,L,-1000.00,-1.000
2024-05-30,00:00,LONDON_GOLD_FIX,oui,R2,L,-1000.00,-1.000
2024-06-04,00:00,LONDON_GOLD_FIX,oui,R2,W,1844.59,1.845
2024-06-07,00:00,LONDON_GOLD_FIX,oui,R2,L,-1000.00,-1.000
2024-06-11,00:00,LONDON_GOLD_FIX,oui,R2,L,-1000.00,-1.000
2024-06-12,00:00,LONDON_GOLD_FIX,oui,R2,L,-815.32,-0.815
2024-06-17,00:00,LONDON_GOLD_FIX,oui,R2,L,-1000.00,-1.000
2024-06-18,00:00,LONDON_GOLD_FIX,oui,R2,W,987.47,0.987
2024-06-24,00:00,LONDON_GOLD_FIX,oui,R2,L,-112.56,-0.113
2024-06-25,00:00,LONDON_GOLD_FIX,oui,R2,L,-437.54,-0.438
2024-07-08,00:00,LONDON_GOLD_FIX,oui,R2,L,-1000.00,-1.000
2024-07-29,00:00,LONDON_GOLD_FIX,oui,R2,W,1617.39,1.617
2024-07-30,00:00,LONDON_GOLD_FIX,oui,R2,W,1754.25,1.754
2024-07-31,00:00,LONDON_GOLD_FIX,oui,R2,L,-1000.00,-1.000
2024-08-02,00:00,LONDON_GOLD_FIX,oui,R2,L,-1000.00,-1.000
2024-08-16,00:00,LONDON_GOLD_FIX,oui,R2,L,-1000.00,-1.000
2024-08-22,00:00,LONDON_GOLD_FIX,oui,R2,W,1171.09,1.171
2024-08-23,00:00,LONDON_GOLD_FIX,oui,R2,L,-710.93,-0.711
2024-08-26,00:00,LONDON_GOLD_FIX,oui,R2,L,-1000.00,-1.000
2024-08-29,00:00,LONDON_GOLD_FIX,oui,R2,L,-1000.00,-1.000
2024-09-09,00:00,LONDON_GOLD_FIX,oui,R2,W,971.39,0.971
2024-09-10,00:00,LONDON_GOLD_FIX,oui,R2,W,772.02,0.772
2024-09-11,00:00,LONDON_GOLD_FIX,oui,R2,W,607.10,0.607
2024-09-12,00:00,LONDON_GOLD_FIX,oui,R2,W,483.49,0.483
2024-11-08,00:00,LONDON_GOLD_FIX,oui,R2,L,-1000.00,-1.000
2024-12-23,00:00,LONDON_GOLD_FIX,oui,R2,L,-526.24,-0.526
2024-12-27,00:00,LONDON_GOLD_FIX,oui,R2,L,-1000.00,-1.000
2024-12-31,00:00,LONDON_GOLD_FIX,oui,R2,L,-1000.00,-1.000
2025-01-03,00:00,LONDON_GOLD_FIX,oui,R2,L,-1000.00,-1.000
2025-01-15,00:00,LONDON_GOLD_FIX,oui,R2,W,633.98,0.634
2025-01-30,00:00,LONDON_GOLD_FIX,oui,R2,L,-1000.00,-1.000
2025-01-31,00:00,LONDON_GOLD_FIX,oui,R2,L,-1000.00,-1.000
2025-02-06,00:00,LONDON_GOLD_FIX,oui,R2,W,1539.67,1.540
2025-02-07,00:00,LONDON_GOLD_FIX,oui,R2,W,2372.99,2.373
